Department or Agency,Year,PassengerDomestic,PassengerForeign,PassengerSubtotal,TrucksDomestic,TrucksForeign,TrucksSubtotal,OtherDomestic,OtherForeign,"Other
Subtotal"
Total Civilian Agencies,2015,140483,11439,151922,89702,3910,93612,3228,180,3408
Total U.S. Postal Service,2015,8937,,8937,199241,,199241,4,,4
